,peer_count,client_count,arrival_time,te_count,cp_count,te_percent,te_percent_price,cp_percent,consensus,max,min,mean,res,docker_server_diff,date
0,4,10,1.0,10,10,100,100,100,noops,5.98105502129,4.3070368766800025,4.95342302322,"(0, (1020, 5.456701040267944)), (0, (1021, 5.474143981933594)), (0, (1018, 5.981055021286011)), (1, (1006, 4.949958086013794)), (2, (1016, 4.62759804725647)), (2, (1008, 4.62797212600708)), (3, (1003, 4.365200996398926)), (4, (1001, 4.414136171340942)), (5, (1005, 4.307036876678467)), (5, (1064, 5.330427885055542))",0,1486020231.06
0,4,20,1.0,10,10,100,100,100,noops,5.52019500732,3.7314581871,4.68475358486,"(1, (1006, 5.520195007324219)), (1, (1003, 4.715965986251831)), (2, (1020, 4.892023086547852)), (3, (1005, 4.268362045288086)), (4, (1000, 4.3606040477752686)), (4, (1003, 4.448439121246338)), (6, (1011, 4.530592918395996)), (9, (1001, 5.150657892227173)), (9, (1000, 4.651158094406128)), (9, (1015, 5.05570912361145)), (10, (1013, 4.666351079940796)), (12, (1003, 3.9247000217437744)), (13, (1007, 3.7314581871032715)), (15, (1006, 3.9886629581451416)), (18, (1028, 4.832895040512085)), (19, (1012, 3.8046529293060303)), (21, (1001, 5.416095972061157)), (21, (1006, 5.264488935470581)), (21, (1004, 5.226136207580566)), (21, (1007, 5.245923042297363))",0,1486020403.06
0,4,50,1.0,10,10,100,100,100,noops,5.85986304283,3.45036792755,4.5365165758099995,"(1, (1010, 5.244592905044556)), (1, (1011, 5.448601007461548)), (1, (1013, 5.368253946304321)), (2, (1019, 4.65106987953186)), (4, (1016, 4.1641929149627686)), (5, (1056, 4.482381105422974)), (7, (1020, 3.4503679275512695)), (10, (1000, 5.360625982284546)), (11, (1084, 4.402446031570435)), (13, (1149, 3.8152809143066406)), (13, (1120, 4.303411960601807)), (13, (1480, 3.8811070919036865)), (13, (1189, 3.8806850910186768)), (14, (1021, 5.2834389209747314)), (14, (1009, 5.639684200286865)), (15, (1007, 4.633155822753906)), (16, (1027, 4.499959230422974)), (18, (1008, 3.6232309341430664)), (19, (1002, 4.732560873031616)), (20, (1014, 3.999501943588257)), (21, (1008, 3.9071741104125977)), (23, (1000, 3.9047789573669434)), (24, (1002, 4.2954020500183105)), (24, (1010, 3.98287296295166)), (25, (1026, 4.5793681144714355)), (25, (1007, 4.195986032485962)), (26, (1002, 4.66821813583374)), (29, (1045, 5.369835138320923)), (30, (1018, 4.247857093811035)), (30, (1006, 3.961935043334961)), (33, (1012, 4.189512014389038)), (34, (1008, 4.183389186859131)), (36, (1028, 4.23365592956543)), (37, (1291, 3.7294859886169434)), (39, (1000, 4.992810010910034)), (40, (1006, 5.026648044586182)), (42, (1031, 4.136373043060303)), (44, (1023, 4.260717153549194)), (47, (1010, 4.811161994934082)), (47, (1027, 4.773841857910156)), (49, (1011, 3.6474809646606445)), (53, (1012, 5.425403118133545)), (53, (1014, 5.1948769092559814)), (53, (1014, 5.238667964935303)), (53, (1006, 5.859863042831421)), (53, (1044, 5.5649261474609375)), (55, (1004, 4.3860249519348145)), (56, (1015, 4.412941932678223)), (56, (1020, 4.391617059707642)), (58, (1059, 4.388455152511597))",0,1486020553.54
0,4,10,0.5,10,10,100,100,100,noops,7.784298896789999,5.41705584526,6.39969499111,"(0, (1001, 7.60147500038147)), (0, (1009, 7.784298896789551)), (0, (1019, 6.186272144317627)), (0, (1027, 6.086472988128662)), (0, (1006, 5.41705584526062)), (0, (1005, 5.949091196060181)), (1, (1013, 7.242182970046997)), (2, (1006, 6.1976728439331055)), (3, (1000, 5.657588958740234)), (3, (1021, 5.8748390674591064))",0,1486020666.85
0,4,20,0.5,10,10,100,100,100,noops,7.150599002839999,3.5580368042000003,5.52006409168,"(0, (1001, 4.9223411083221436)), (1, (1003, 3.8686411380767822)), (2, (1000, 3.5580368041992188)), (3, (1011, 6.908264875411987)), (3, (1004, 6.650789022445679)), (3, (1026, 6.708855152130127)), (3, (1028, 6.17353892326355)), (5, (1012, 5.411016941070557)), (7, (1032, 5.481937885284424)), (7, (1006, 4.429814100265503)), (7, (1000, 6.3398308753967285)), (7, (1005, 5.3111560344696045)), (8, (1028, 7.150599002838135)), (8, (1050, 6.89689302444458)), (9, (1027, 6.251252889633179)), (10, (1040, 5.2478251457214355)), (11, (1017, 5.104397773742676)), (11, (1003, 4.913473129272461)), (13, (1029, 4.024001121520996)), (13, (1004, 5.048616886138916))",0,1486020777.91
0,4,20,0.5,20,20,100,100,100,noops,8.148504972460001,3.4182062149,5.85134336948,"(0, (1074, 4.81329607963562)), (1, (1001, 3.99891996383667)), (2, (1018, 3.418206214904785)), (3, (1000, 5.328572988510132)), (3, (1002, 5.162239074707031)), (3, (1102, 5.321725130081177)), (3, (1066, 6.01680588722229)), (5, (1001, 4.679845809936523)), (7, (1000, 7.822946071624756)), (7, (1005, 7.929286956787109)), (7, (1123, 8.148504972457886)), (7, (1007, 7.957460880279541)), (8, (1011, 6.570958137512207)), (8, (1018, 7.212465047836304)), (9, (1023, 6.503789186477661)), (10, (1011, 5.413424968719482)), (11, (1021, 4.942752122879028)), (11, (1011, 5.201052904129028)), (13, (1021, 5.262165069580078)), (13, (1066, 5.3224499225616455))",0,1486020926.28
0,5,20,0.5,20,20,100,100,100,noops,8.10510015488,4.75099205971,6.38420644403,"(1, (1007, 5.131481885910034)), (1, (1020, 5.16238808631897)), (3, (1004, 4.750992059707642)), (4, (1005, 5.799345016479492)), (4, (1001, 5.880262851715088)), (6, (1009, 6.871783018112183)), (6, (1011, 7.453505039215088)), (6, (1000, 7.526437997817993)), (7, (1035, 6.20225715637207)), (8, (1111, 5.671082019805908)), (8, (1014, 5.839221954345703)), (8, (-1, None)), (8, (1072, 4.986629009246826)), (9, (-1, None)), (9, (1008, 8.105100154876709)), (10, (1249, 8.001900911331177)), (10, (1085, 6.943345069885254)), (10, (-1, None)), (10, (1000, 7.821570873260498)), (10, (-1, None))",1,1486021150.69
0,6,20,0.5,20,20,100,100,100,noops,5.886212110519999,4.0158970356,5.110305245719999,"(0, (1018, 5.886212110519409)), (0, (1040, 5.513582944869995)), (0, (1032, 5.531382083892822)), (1, (1005, 4.940683126449585)), (1, (-1, None)), (3, (1009, 4.993334054946899)), (4, (1052, 5.699031829833984)), (4, (1000, 5.3612871170043945)), (6, (1008, 5.617280960083008)), (6, (-1, None)), (6, (1398, 5.354386806488037)), (7, (1365, 4.758744955062866)), (8, (1101, 4.738691806793213)), (8, (-1, None)), (8, (-1, None)), (8, (1251, 4.015897035598755)), (9, (1067, 5.491262912750244)), (9, (-1, None)), (10, (1030, 4.506460905075073)), (10, (1054, 4.246340036392212))",2,1486021336.83
0,4,20,0.1,20,20,100,100,100,noops,10.0752089024,6.41182613373,8.168966995349999,"(0, (1002, 6.411826133728027)), (0, (1009, 6.480393886566162)), (0, (1004, 8.838397026062012)), (0, (1000, 7.546109914779663)), (0, (1001, 7.003359079360962)), (0, (1006, 7.812994956970215)), (0, (1004, 7.282358169555664)), (0, (1023, 8.133311986923218)), (0, (1009, 8.78220820426941)), (0, (1011, 10.075208902359009)), (0, (1003, 8.287560939788818)), (1, (-1, None)), (1, (-1, None)), (1, (1018, 9.053881883621216)), (1, (1006, 8.22748589515686)), (1, (1017, 9.306493997573853)), (1, (1001, 9.214807033538818)), (1, (1045, 8.415263891220093)), (1, (1026, 7.240612030029297)), (1, (1029, 8.929131984710693))",0,1486021467.88
0,4,100,1.0,10,10,100,100,100,noops,7.864017963410001,3.19815182686,5.09368162155,"(0, (1001, 4.269110918045044)), (1, (1001, 4.958989143371582)), (1, (1018, 4.65323805809021)), (2, (1019, 4.364887952804565)), (3, (1000, 5.51348876953125)), (5, (1003, 4.165755987167358)), (6, (1000, 4.182175874710083)), (7, (1120, 4.364516973495483)), (8, (1961, 3.401124954223633)), (10, (1003, 4.721919059753418)), (11, (1003, 3.4897451400756836)), (11, (1001, 4.700773000717163)), (12, (1022, 5.482529163360596)), (12, (1014, 5.984724998474121)), (13, (1015, 5.236534118652344)), (16, (1031, 3.1981518268585205)), (17, (1021, 4.666454076766968)), (17, (1001, 4.8128979206085205)), (20, (1001, 3.900979995727539)), (21, (1006, 3.9714391231536865)), (23, (1000, 4.411427974700928)), (24, (1094, 3.5329630374908447)), (26, (1000, 4.379864931106567)), (27, (1006, 4.603521108627319)), (29, (1003, 3.7026009559631348)), (31, (1010, 4.012178897857666)), (34, (1020, 4.721956014633179)), (34, (1006, 4.7764270305633545)), (36, (1008, 3.834434986114502)), (40, (1009, 5.980556011199951)), (40, (1004, 6.277238130569458)), (40, (1009, 5.859760999679565)), (40, (1001, 5.707962989807129)), (40, (1002, 6.238871097564697)), (42, (1005, 5.2633960247039795)), (43, (1058, 3.9878551959991455)), (43, (1007, 4.922144889831543)), (45, (1023, 7.457809925079346)), (45, (1016, 6.938292026519775)), (46, (1001, 6.297250986099243)), (47, (1015, 6.2488181591033936)), (49, (1690, 4.464854001998901)), (49, (1401, 4.848845958709717)), (49, (1039, 6.228528022766113)), (49, (1004, 6.815635919570923)), (49, (1008, 6.817275047302246)), (49, (1167, 5.100517988204956)), (49, (1000, 5.04268479347229)), (51, (1005, 6.495443820953369)), (51, (1006, 7.864017963409424)), (53, (1008, 6.419047832489014)), (53, (1001, 6.5067219734191895)), (54, (1009, 5.2786171436309814)), (57, (1020, 4.129953861236572)), (58, (1015, 3.299056053161621)), (59, (1008, 5.352442026138306)), (59, (1032, 5.71524715423584)), (59, (1002, 4.239721059799194)), (60, (1005, 5.224524021148682)), (61, (1041, 5.113351106643677)), (63, (1001, 4.368563890457153)), (65, (1051, 4.385593891143799)), (65, (1005, 4.715277910232544)), (65, (1061, 5.172716856002808)), (66, (1003, 6.305176019668579)), (66, (1012, 6.090898036956787)), (67, (1015, 5.259117841720581)), (67, (1066, 4.942496061325073)), (68, (1002, 4.93569016456604)), (69, (1028, 6.410171985626221)), (70, (1014, 6.567821025848389)), (70, (1010, 6.277838945388794)), (74, (1002, 5.616817951202393)), (74, (1030, 5.849848031997681)), (77, (1022, 4.377740144729614)), (79, (1001, 4.208867073059082)), (80, (1002, 4.444916009902954)), (83, (1041, 3.283635139465332)), (84, (1005, 5.241039037704468)), (84, (1038, 5.368986129760742)), (84, (1061, 5.237446069717407)), (85, (1004, 4.882339954376221)), (87, (1002, 5.952575206756592)), (87, (1006, 5.977230072021484)), (87, (1000, 6.494808912277222)), (87, (1003, 6.138077020645142)), (88, (1018, 6.082548141479492)), (92, (1008, 5.542683124542236)), (93, (1000, 4.37253999710083)), (94, (1016, 4.4215168952941895)), (95, (1008, 5.354938983917236)), (95, (1006, 4.994542121887207)), (96, (1007, 4.231783151626587)), (97, (1001, 5.086791038513184)), (99, (1005, 4.479098081588745)), (101, (1007, 4.487799882888794)), (102, (1018, 4.226931095123291)), (103, (1010, 4.970179080963135)), (104, (1024, 3.7866649627685547)), (107, (1006, 4.673202037811279))",0,1486021786.45
