,peer_count,client_count,arrival_time,te_count,cp_count,te_percent,te_percent_price,cp_percent,consensus,consensus_time_max,do
0,4 ,6 , 10.00, 1 ,10 , 100 , 100 , 100 , pbft , 100ms, False
0,4 ,6 , 10.00, 4 ,10 , 100 , 100 , 100 , pbft , 100ms, False
0,4 ,6 , 10.00, 24 ,10 , 100 , 100 , 100 , pbft , 100ms, False
0,4 ,6 , 10.00, 121 ,10 , 100 , 100 , 100 , pbft , 100ms, False
0,4 ,6 , 10.00, 599 ,10 , 100 , 100 , 100 , pbft , 100ms, False
0,4 ,18 , 3.16, 1 ,10 , 100 , 100 , 100 , pbft , 100ms, False
0,4 ,18 , 3.16, 4 ,10 , 100 , 100 , 100 , pbft , 100ms, False
0,4 ,18 , 3.16, 24 ,10 , 100 , 100 , 100 , pbft , 100ms, False
0,4 ,18 , 3.16, 121 ,10 , 100 , 100 , 100 , pbft , 100ms, False
0,4 ,18 , 3.16, 599 ,10 , 100 , 100 , 100 , pbft , 100ms, False
0,4 ,59 , 1.00, 1 ,10 , 100 , 100 , 100 , pbft , 100ms, False
0,4 ,59 , 1.00, 4 ,10 , 100 , 100 , 100 , pbft , 100ms, False
0,4 ,59 , 1.00, 24 ,10 , 100 , 100 , 100 , pbft , 100ms, False
0,4 ,59 , 1.00, 121 ,10 , 100 , 100 , 100 , pbft , 100ms, False
0,4 ,59 , 1.00, 599 ,10 , 100 , 100 , 100 , pbft , 100ms, False
0,4 ,189 , 0.32, 1 ,10 , 100 , 100 , 100 , pbft , 100ms, False
0,4 ,189 , 0.32, 4 ,10 , 100 , 100 , 100 , pbft , 100ms, False
0,4 ,189 , 0.32, 24 ,10 , 100 , 100 , 100 , pbft , 100ms, False
0,4 ,189 , 0.32, 121 ,10 , 100 , 100 , 100 , pbft , 100ms, False
0,4 ,189 , 0.32, 599 ,10 , 100 , 100 , 100 , pbft , 100ms, False
0,4 ,599 , 0.10, 1 ,10 , 100 , 100 , 100 , pbft , 100ms, False
0,4 ,599 , 0.10, 4 ,10 , 100 , 100 , 100 , pbft , 100ms, False
0,4 ,599 , 0.10, 24 ,10 , 100 , 100 , 100 , pbft , 100ms, False
0,4 ,599 , 0.10, 121 ,10 , 100 , 100 , 100 , pbft , 100ms, False
0,4 ,599 , 0.10, 599 ,10 , 100 , 100 , 100 , pbft , 100ms, False
